sentence,evaluation_words,tonality,entity,entity_type
"

== Список лауреатов 2010 года ==

 Государство и общество АНО Координационный центр национального домена сети Интернет домен РФ Один дома компьютерная программа Карта Помощи пострадавшим от пожаров Культура и массовые коммуникации Русская служба Би би си Ты репортер Наука и образование Русская Википедия Элементы популярный сайт о фундаментальной науке Учительский интернет проект Единая образовательная сеть Дневник ру Департамент образования и науки Кемеровской области Персональный сайт Хузина Руслана Илдаровича Филологии нет Экономика и бизнес Моё дело Бухгалтерское обслуживание онлайн Сравни Здоровье и отдых Портал о здоровом образе жизни Спецноминация ХК Динамо Технологии и инновации ООО Скартел встречи онлайн Персональная номинация Национальное достояние Рунета Евгений Касперский Народная де ятка Легенда Наследие Драконов Герои войны и денег Ботва Онлайн Мосвар Русская Википедия Футбольный онлайн менеджер 11 11 11 11 Танки Онлайн 
",гии нет экономика и бизнес мо дело бухгалтерский обслуживание онлайн здоровье и отдых портал о здоровый образ жизнь спецноминация хк дин ,0,Сравни,ORGANIZATION
"

Что касается второго места, как отмечает зампред Центризбиркома Леонид Ивлев, то в зависимости от региона и уровня выборов второе-третье и четвертое место поделят между собой КПРФ, ЛДПР и «Справедливая Россия»",ров второе третий и четвёртый место поделить между себя кпрф лдпр и  ,0,Справедливая Россия,ORGANIZATION
 Владимир передал видеозапись преступления сотрудникам полиции и дал свидетельские показания следователю, владимир передать видеозапись преступление сотрудник и дать свидетельский показание следователь ,0,полиции,ORGANIZATION
 С 2013 года служил в 75-м полку рейнджеров — парашютно-десантном полку сил специального назначения, с год служить в парашютный десантный полка сила специальный назначение ,0,75-м полку рейнджеров,ORGANIZATION
" Слева здание, в котором сейчас расположена пиццерия Zizzi

В пиццерии Zizzi в британском Солсбери, где обедали 4 марта 2018 года отравленный экс-сотрудник ГРУ Сергей Скрипаль и его дочь Юлия, обнаружены следы нервно-паралитического отравляющего вещества",кто солсбери где обедать март год отравить экс сотрудник сергей скрипаль и он дочь юлия обнаружить след нервно паралитическ ,0,ГРУ,ORGANIZATION
"

Мечеть в Синьцзяне, 2006 год

Ранее послы 22 стран, в основном западных, обратились в Совет по правам человека ООН, призвав Китай прекратить массовые репрессии в отношении этнических уйгуров и других мусульман", страна в основное западный обратиться в совет по право человек призвать китай прекратить массовый репрессия в отношение этнический у ,0,ООН,ORGANIZATION
"

Адвокат Трампа Джей Секулоу выпустил заявление в связи с публикацией ''Washigton Post'', в котором говорится:
Приведенная трактовка не только не имеет большого значения, но также вводит в заблуждение, неточна и неуместна",двокат трамп джей секулоу выпустить заявление в связь с публикация в который говориться привести трактовка не только не иметь боль ,-1,Washigton Post,ORGANIZATION
"

Кроме того, Помпео и Логар обсудили общие интересы обеих стран, связанные с расширением деловых и торговых связей, в ситуации пандемии COVID19", кроме тот помпео и обсудить общий интерес оба страна связанный с расширение деловой  ,1,Логар,PERSON
 Китай и Россия предложили в Совете безопасности ООН свой проект резолюции по проблеме ракетных испытаний в Северной Корее, китай и россия предложить в оон свой проект резолюция по проблема ракетный испытание в северный к ,0,Совете безопасности,ORGANIZATION
"
Именно Меньшиков принёс Солонику альпинистское снаряжение и пистолет", именно меньшиков прина с альпинистский снаряжение и пистолет ,0,Солонику,PERSON
"Россия и Китай предложили резолюцию по Северной Корее

Обсуждение ракетных испытаний в Северной Корее получило неожиданное предложение", и китай предложить резолюция по северный корея обсуждение ракетный и ,0,Россия,COUNTRY
" В частности, будет принято решение о том, кто будет выплачивать займы – правительство Испании или сами банки",ет принять решение о тот кто быть выплачивать заём правительство или сам банк ,0,Испании,COUNTRY
"

Аркадий Дворкович
Эксперты затрудняются сказать, кто сменит Суркова, однако из информации опубликованной на сайте кабинета министров следует, что обязанности Владислава Суркова на период его отсутствия возлагаются на вице-премьера Аркадия Дворковича:
На период временного отсутствия вопросы, закрепленные настоящим распределением обязанностей за В", эксперт затрудняться сказать кто сменить сурков однако из информаца ,0,Аркадий Дворкович,PERSON
"

64-летний лидер гражданской инициативы «Свобода, демократия, правда», Иванович считался умеренным политиком", летний лидер гражданский инициатива свобода демократия правда считаться умеренный политик ,0,Иванович,PERSON
" Через некоторое время на реанимационном вертолете канцелярии президента АРЕ Мубарака доставили в Полицейскую академию в новой части Каира, носившую ранее его имя, где в специально оборудованном зале уже начался судебный процесс",анимационный вертолёт канцелярия президент аре мубарак доставить в в новый часть каир носить ранее он имя где в специально оборудо ,0,Полицейскую академию,ORGANIZATION
" Нет разжиганию новой войны на Кавказе!"", подписанным   Лией Ахеджаковой, Леонидом Баткиным,  Сергеем Гандлевским, Аллой Гербер, Вадимом Жуком, Михаилом Златковским, Зоей Маслениковой,  Юрием Норштейном, Наталией Трауберг, Артемием Троицким,   Инной Чуриковой,  Сергеем Юрским, Еленой Камбуровой, сказано, что в России преследуются все грузины, ""независимо от возраста, гражданства, и социальной принадлежности"", в том числе деятели культуры, что сотрудники МВД России собирали сведения о школьниках  с грузинскими фамилиями и провели перепись прихожан грузинской православной церкви",лла гербер вадим жук михаил златковский зоя маслеников наталия трауберг артемий троицкий инна чурикова сергей юр ,0,Юрием Норштейном,PERSON
"В Конго потерпел крушение самолёт авиакомпании «Airzena»


4 апреля 2011 года в Демократической Республике Конго во время посадки в аэропорту столицы страны Киншасы в сложных метеоусловиях, потерпел крушение самолёт модели «CRJ-100», принадлежащий авиакомпании «''Airzena''» управляемый грузинским экипажем",в конго потерпеть крушение самол так авиакомпания апрель год в демократический республика конго в время пос ,0,Airzena,ORGANIZATION
"
Следователи полагали, Саркози, воспользовавшись болезнью Лилиан Беттанкур мог путём обмана получить от неё деньги деньги на предвыборную кампанию 2007 года", следователь полагать саркози воспользоваться болезнь мочь путы м обман получить от не деньга деньга на предвыборный кампан ,0,Лилиан Беттанкур,PERSON
"Стали известны название и сюжет юбилейного рождественского эпизода телесериала «Доктор Кто» 2015 года
Стивен Моффат на San Diego Comic-Con International 18 июля 2013 года
1 декабря 2015 года канал Би-би-си представил сюжет юбилейного одиннадцатого рождественского эпизода телесериала «Доктор Кто» 2015 года",o comic con international июль год декабрь год канал представить сюжет юбилейный одиннадцатый рождественский эпизод тело ,0,Би-би-си,ORGANIZATION
"

Президент США подчеркнул, что крайне заинтересован в мирном разрешении кризиса:
Никто не заинтересован в мирном решении больше, чем президент Трамп", президент подчеркнуть что крайне заинтересованный в мирный разрешение кризис ник ,0,США,COUNTRY
